รายงานยอดขาย ร้านโชห่วยป้าศรี ประจำเดือน ม.ค.-มี.ค. 2569
วันที่,สินค้า,หมวดหมู่,จำนวน,ยอดขาย
05/01/2569,มาม่า,อาหารแห้ง,24,"฿144"
05/01/2569,น้ำดื่ม,เครื่องดื่ม,36,"฿252"
07/01/2569,ข้าวสาร 5กก,อาหารแห้ง,3,"฿555"
09/01/2569,น้ำปลา,เครื่องปรุง,6,"฿210"
12/01/2569,โค้ก,เครื่องดื่ม,18,"฿324"
14/01/2569,สบู่,ของใช้,12,"฿300"
14/01/2569,ผงซักฟอก,ของใช้,5,"฿475"
15 ม.ค. 69,นมกล่อง,เครื่องดื่ม,๒๔,"฿336"
17/01/2569,น้ำมันพืช,เครื่องปรุง,4,"฿256"
19/01/2569,ทิชชู่,ของใช้,8,"฿232"
21/01/2569,มาม่า,อาหารแห้ง,30,"฿180"
23/01/2569,น้ำดื่ม,เครื่องดื่ม,42,"฿294"
25/01/2569,น้ำตาลทราย,เครื่องปรุง,5,"฿135"
27/01/2569,โค้ก,เครื่องดื่ม,20,"฿360"
29/01/2569,ข้าวสาร 5กก,อาหารแห้ง,2,
02/02/2569,มาม่า,อาหารแห้ง,28,"฿168"
04/02/2569,น้ำดื่ม,เครื่องดื่ม,40,"฿280"
06/02/2569,สบู่,ของใช้,10,"฿250"
08/02/2569,น้ำปลา,เครื่องปรุง,7,"฿245"
10/02/2569,โค้ก,เครื่องดื่ม,22,"฿396"
12/02/2569,นมกล่อง,เครื่องดื่ม,๑๘,"฿252"
14/02/2569,ทิชชู่,ของใช้,9,"฿261"
14/02/2569,ทิชชู่,ของใช้,9,"฿261"
16/02/2569,ผงซักฟอก,ของใช้,6,"฿570"
18/02/2569,น้ำมันพืช,เครื่องปรุง,5,"฿320"
20/02/2569,ข้าวสาร 5กก,อาหารแห้ง,4,"฿740"
22/02/2569,โค้ก,เครื่องดื่ม,1,"(36)"
24/02/2569,มาม่า,อาหารแห้ง,32,"฿192"
26/02/2569,น้ำดื่ม,เครื่องดื่ม,45,"฿315"
28/02/2569,น้ำตาลทราย,เครื่องปรุง,6,"฿162"
02/03/2569,งานวัด — ขายส่งเหมา,เครื่องดื่ม,320,"฿5,440"
04/03/2569,มาม่า,อาหารแห้ง,26,"฿156"
06/03/2569,สบู่,ของใช้,14,"฿350"
08/03/2569,น้ำปลา,เครื่องปรุง,8,"฿280"
10/03/2569,โค้ก,เครื่องดื่ม,24,"฿432"
12/03/2569,นมกล่อง,เครื่องดื่ม,๒๐,"฿280"
12/03/2569,นมกล่อง,เครื่องดื่ม,๒๐,"฿280"
14/03/2569,ทิชชู่,ของใช้,10,"฿290"
16/03/2569,น้ำมันพืช,เครื่องปรุง,6,"฿384"
18/03/2569,ข้าวสาร 5กก,อาหารแห้ง,3,
20/03/2569,ผงซักฟอก,ของใช้,7,"฿665"
22/03/2569,น้ำดื่ม,เครื่องดื่ม,48,"฿336"
24/03/2569,มาม่า,อาหารแห้ง,34,"฿204"
26 มี.ค. 69,น้ำตาลทราย,เครื่องปรุง,7,"฿189"
28/03/2569,โค้ก,เครื่องดื่ม,26,"฿468"
