Date,Product,Category,Region,Channel,Units,Price,Revenue,Returns,Rating
2025-03-09,Mouse Pad,Accessories,Pattaya,Online,28,149,4172,1,4.7
2025-10-26,Phone Stand,Accessories,Khon Kaen,In-Store,9,890,8010,1,3.0
2025-02-09,Phone Stand,Accessories,Khon Kaen,In-Store,16,890,14240,0,3.8
2025-09-30,Mouse Pad,Accessories,Bangkok,In-Store,8,299,2392,0,3.1
2025-11-06,Wireless Charger,Electronics,Phuket,In-Store,31,199,6169,1,3.8
2025-12-22,Phone Stand,Accessories,Chiang Mai,In-Store,39,299,11661,0,3.8
2025-01-08,Power Bank,Electronics,Khon Kaen,In-Store,48,1290,61920,2,3.1
2025-03-13,Keyboard Cover,Accessories,Bangkok,Marketplace,44,149,6556,1,3.5
2025-05-01,Keyboard Cover,Accessories,Khon Kaen,Marketplace,31,149,4619,3,4.6
2025-12-28,Mouse Pad,Accessories,Bangkok,Marketplace,13,890,11570,0,3.9
2025-01-06,Laptop Bag,Bags,Chiang Mai,In-Store,14,349,4886,0,3.2
2025-10-17,Wireless Charger,Electronics,Chiang Mai,In-Store,22,1590,34980,2,4.2
2025-02-21,Screen Protector,Accessories,Bangkok,In-Store,10,890,8900,0,3.6
2025-12-06,Screen Protector,Accessories,Phuket,In-Store,47,349,16403,1,4.4
2025-09-28,Phone Stand,Accessories,Khon Kaen,In-Store,40,1290,51600,4,4.0
2025-09-05,Phone Stand,Accessories,Khon Kaen,Marketplace,7,599,4193,1,3.4
2025-08-12,Power Bank,Electronics,Phuket,Online,5,199,995,0,4.3
2025-05-17,Bluetooth Earbuds,Electronics,Phuket,Online,47,599,28153,3,3.6
2025-02-01,Wireless Charger,Electronics,Khon Kaen,In-Store,46,299,13754,3,4.5
2025-02-09,Wireless Charger,Electronics,Khon Kaen,Marketplace,26,299,7774,2,3.8
2025-02-10,Mouse Pad,Accessories,Phuket,In-Store,31,99,3069,1,4.7
2025-09-27,Bluetooth Earbuds,Electronics,Chiang Mai,Online,39,1290,50310,0,4.5
2025-02-15,Keyboard Cover,Accessories,Bangkok,Marketplace,12,599,7188,0,4.3
2025-11-02,Keyboard Cover,Accessories,Chiang Mai,In-Store,17,1590,27030,0,3.0
2025-04-18,iPhone Case,Accessories,Phuket,Online,46,199,9154,4,4.0
2025-01-09,Mouse Pad,Accessories,Bangkok,Online,50,599,29950,2,5.0
2025-12-26,USB-C Cable,Accessories,Bangkok,Marketplace,46,1290,59340,1,3.2
2025-02-17,Screen Protector,Accessories,Pattaya,Marketplace,2,99,198,1,3.6
2025-06-14,Screen Protector,Accessories,Chiang Mai,Online,26,199,5174,2,3.2
2025-06-28,Keyboard Cover,Accessories,Pattaya,In-Store,7,349,2443,0,4.1
2025-04-09,Laptop Bag,Bags,Phuket,Marketplace,46,99,4554,1,4.1
2025-03-17,Keyboard Cover,Accessories,Khon Kaen,Marketplace,48,99,4752,1,4.7
2025-03-23,iPhone Case,Accessories,Bangkok,In-Store,19,1590,30210,0,4.9
2025-11-19,iPhone Case,Accessories,Khon Kaen,In-Store,12,599,7188,1,3.7
2025-11-16,Bluetooth Earbuds,Electronics,Chiang Mai,Marketplace,41,299,12259,4,3.2
2025-11-03,Laptop Bag,Bags,Chiang Mai,Online,5,349,1745,1,4.8
2025-01-07,Bluetooth Earbuds,Electronics,Phuket,In-Store,28,1290,36120,1,4.5
2025-07-21,Power Bank,Electronics,Bangkok,In-Store,33,1590,52470,2,4.9
2025-12-08,Bluetooth Earbuds,Electronics,Chiang Mai,Marketplace,45,199,8955,0,4.6
2025-08-11,Keyboard Cover,Accessories,Phuket,Marketplace,27,890,24030,1,4.0
2025-11-16,Bluetooth Earbuds,Electronics,Khon Kaen,Online,44,1290,56760,2,3.1
2025-07-14,Phone Stand,Accessories,Pattaya,Online,5,199,995,0,3.4
2025-10-18,Laptop Bag,Bags,Pattaya,Marketplace,21,199,4179,1,4.8
2025-03-05,Keyboard Cover,Accessories,Bangkok,Online,18,149,2682,0,3.1
2025-01-06,Wireless Charger,Electronics,Phuket,In-Store,18,1590,28620,1,3.7
2025-01-19,iPhone Case,Accessories,Chiang Mai,Marketplace,45,299,13455,1,3.3
2025-09-21,Laptop Bag,Bags,Pattaya,In-Store,46,599,27554,3,3.0
2025-02-01,Screen Protector,Accessories,Bangkok,In-Store,36,1590,57240,0,4.3
2025-10-03,USB-C Cable,Accessories,Phuket,In-Store,12,99,1188,1,4.1
2025-06-29,USB-C Cable,Accessories,Phuket,Marketplace,39,299,11661,1,4.6
2025-03-07,Mouse Pad,Accessories,Chiang Mai,In-Store,17,299,5083,1,3.4
2025-09-19,Power Bank,Electronics,Phuket,Marketplace,40,199,7960,1,4.9
2025-07-18,Phone Stand,Accessories,Pattaya,Online,33,890,29370,1,4.2
2025-11-27,Screen Protector,Accessories,Phuket,In-Store,47,890,41830,1,4.6
2025-01-06,Laptop Bag,Bags,Phuket,Online,30,99,2970,0,3.4
2025-12-08,Bluetooth Earbuds,Electronics,Phuket,In-Store,30,599,17970,0,3.8
2025-04-28,Keyboard Cover,Accessories,Khon Kaen,Online,7,1590,11130,1,3.0
2025-08-13,Screen Protector,Accessories,Phuket,Online,32,599,19168,3,4.7
2025-04-11,Power Bank,Electronics,Khon Kaen,Marketplace,13,1290,16770,1,5.0
2025-03-12,Wireless Charger,Electronics,Pattaya,Online,48,1590,76320,3,3.5
2025-12-10,Keyboard Cover,Accessories,Pattaya,Marketplace,24,99,2376,2,3.3
2025-11-05,Power Bank,Electronics,Phuket,Online,44,349,15356,2,4.8
2025-03-07,Mouse Pad,Accessories,Phuket,In-Store,10,149,1490,0,3.7
2025-07-05,Laptop Bag,Bags,Phuket,Marketplace,26,349,9074,0,3.8
2025-10-11,Power Bank,Electronics,Chiang Mai,Online,6,149,894,1,4.9
